Complaint_ID,Complaint_Text,Category,Priority,Status,Date
866,My order arrived late,Delivery Problem,Low,In Progress,2024-04-10
867,Need refund for cancelled order,Refund/Return,Medium,Open,2024-04-16
868,Need refund for cancelled order,Refund/Return,High,In Progress,2024-01-15
869,Quality is very poor,Product Defect,High,In Progress,2024-01-04
870,My order arrived late,Delivery Problem,Medium,In Progress,2024-06-04
871,Need refund for cancelled order,Refund/Return,Low,In Progress,2024-10-09
872,Extra charges applied without notice,Billing Issue,Medium,Resolved,2024-04-02
873,The product is damaged,Product Defect,Low,Resolved,2024-09-18
874,Issue not resolved by support,Service Issue,Medium,Open,2024-02-06
875,Delivery was delayed by many days,Delivery Problem,Low,Resolved,2024-12-25
876,My order arrived late,Delivery Problem,High,Resolved,2024-02-23
877,Item stopped working after one day,Product Defect,High,In Progress,2024-08-21
878,Service is very slow,Service Issue,High,Resolved,2024-11-23
879,Money not refunded after return,Refund/Return,Low,In Progress,2024-05-13
880,Money not refunded after return,Refund/Return,Low,Open,2024-06-30
881,Package not delivered yet,Delivery Problem,High,Resolved,2024-10-12
882,Incorrect billing amount on my invoice,Billing Issue,Low,Open,2024-05-13
883,Customer service is not responding,Service Issue,Medium,Open,2024-07-18
884,Order marked delivered but not received,Delivery Problem,Medium,Open,2024-08-16
885,Quality is very poor,Product Defect,Low,Open,2024-11-03
886,My order arrived late,Delivery Problem,Medium,Resolved,2024-10-18
887,My order arrived late,Delivery Problem,Low,Resolved,2024-09-24
888,My order arrived late,Delivery Problem,Medium,Open,2024-06-01
889,I was charged twice for my order,Billing Issue,Low,Resolved,2024-03-18
890,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-08-13
891,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-04-03
892,Incorrect billing amount on my invoice,Billing Issue,Medium,Open,2024-05-10
893,Quality is very poor,Product Defect,Low,Open,2024-06-09
894,Refund not processed yet,Refund/Return,High,In Progress,2024-04-10
895,Delivery was delayed by many days,Delivery Problem,Low,Resolved,2024-05-26
896,Product has scratches,Product Defect,Low,Resolved,2024-03-24
897,Quality is very poor,Product Defect,High,Open,2024-05-03
898,Need refund for cancelled order,Refund/Return,High,Open,2024-07-11
899,The product is damaged,Product Defect,High,In Progress,2024-05-20
900,Customer service is not responding,Service Issue,Low,Open,2024-05-01
901,Product has scratches,Product Defect,Low,Resolved,2024-08-03
902,Quality is very poor,Product Defect,Low,In Progress,2024-07-22
903,Item stopped working after one day,Product Defect,High,Open,2024-04-18
904,Quality is very poor,Product Defect,Medium,In Progress,2024-04-19
905,No help from customer care,Service Issue,Medium,In Progress,2024-12-09
906,Money not refunded after return,Refund/Return,Medium,In Progress,2024-11-13
907,Support team was rude,Service Issue,High,Resolved,2024-05-24
908,Product has scratches,Product Defect,High,Open,2024-10-17
909,Received a defective piece,Product Defect,High,Open,2024-06-24
910,Quality is very poor,Product Defect,Low,Open,2024-02-22
911,Support team was rude,Service Issue,Low,Open,2024-07-04
912,Issue not resolved by support,Service Issue,High,Open,2024-10-02
913,Product has scratches,Product Defect,High,Open,2024-10-10
914,Need refund for cancelled order,Refund/Return,Low,In Progress,2024-01-30
915,Support team was rude,Service Issue,Medium,Open,2024-09-12
916,No help from customer care,Service Issue,Medium,Resolved,2024-08-07
917,Money not refunded after return,Refund/Return,Low,In Progress,2024-06-18
918,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-04-05
919,Need refund for cancelled order,Refund/Return,Medium,Resolved,2024-04-07
920,Return request is pending,Refund/Return,Medium,Open,2024-07-04
921,Customer service is not responding,Service Issue,Medium,Resolved,2024-04-27
922,My order arrived late,Delivery Problem,Medium,In Progress,2024-11-29
923,Need refund for cancelled order,Refund/Return,High,Open,2024-07-03
924,Package not delivered yet,Delivery Problem,Medium,In Progress,2024-05-05
925,No help from customer care,Service Issue,Medium,In Progress,2024-03-13
926,Customer service is not responding,Service Issue,Medium,In Progress,2024-01-30
927,Customer service is not responding,Service Issue,High,In Progress,2024-07-05
928,Payment deducted but order not confirmed,Billing Issue,Medium,Resolved,2024-09-28
929,Billing details are wrong,Billing Issue,Low,In Progress,2024-04-24
930,Order marked delivered but not received,Delivery Problem,Low,Open,2024-01-10
931,Refund not processed yet,Refund/Return,Medium,In Progress,2024-07-17
932,Wrong delivery address used,Delivery Problem,Medium,Open,2024-10-30
933,Delivery was delayed by many days,Delivery Problem,Medium,Resolved,2024-12-26
934,Wrong delivery address used,Delivery Problem,High,Open,2024-08-12
935,Service is very slow,Service Issue,High,Open,2024-01-20
936,The product is damaged,Product Defect,Medium,In Progress,2024-02-24
937,Incorrect billing amount on my invoice,Billing Issue,Low,In Progress,2024-03-01
938,Issue not resolved by support,Service Issue,Medium,In Progress,2024-12-06
939,Need refund for cancelled order,Refund/Return,High,Resolved,2024-05-23
940,Service is very slow,Service Issue,Medium,In Progress,2024-07-05
941,Customer service is not responding,Service Issue,High,In Progress,2024-05-10
942,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-01-17
943,Support team was rude,Service Issue,High,Open,2024-07-12
944,Service is very slow,Service Issue,Low,In Progress,2024-10-04
945,Item stopped working after one day,Product Defect,High,Open,2024-05-06
946,Item stopped working after one day,Product Defect,Low,In Progress,2024-09-20
947,I was charged twice for my order,Billing Issue,Low,Open,2024-12-05
948,Support team was rude,Service Issue,High,Resolved,2024-03-04
949,Product has scratches,Product Defect,Low,Open,2024-09-17
950,Issue not resolved by support,Service Issue,High,In Progress,2024-05-30
951,Wrong delivery address used,Delivery Problem,High,Resolved,2024-11-01
952,Product has scratches,Product Defect,Low,Resolved,2024-12-11
953,Quality is very poor,Product Defect,High,Resolved,2024-11-22
954,Quality is very poor,Product Defect,High,In Progress,2024-08-26
955,Package not delivered yet,Delivery Problem,Low,In Progress,2024-07-26
956,Incorrect billing amount on my invoice,Billing Issue,High,In Progress,2024-06-03
957,Issue not resolved by support,Service Issue,High,In Progress,2024-03-14
958,Package not delivered yet,Delivery Problem,High,Open,2024-05-02
959,Wrong delivery address used,Delivery Problem,High,In Progress,2024-03-08
960,Support team was rude,Service Issue,High,Open,2024-12-09
961,Return request is pending,Refund/Return,High,In Progress,2024-08-26
962,Issue not resolved by support,Service Issue,High,Open,2024-10-09
963,Package not delivered yet,Delivery Problem,Low,Resolved,2024-04-30
964,Order marked delivered but not received,Delivery Problem,Low,Open,2024-02-29
965,Refund not processed yet,Refund/Return,Low,Resolved,2024-09-25
966,Order marked delivered but not received,Delivery Problem,Low,Resolved,2024-04-19
967,Wrong delivery address used,Delivery Problem,High,In Progress,2024-01-15
968,Support team was rude,Service Issue,Low,In Progress,2024-12-25
969,Service is very slow,Service Issue,Medium,Resolved,2024-09-29
970,Need refund for cancelled order,Refund/Return,Medium,In Progress,2024-02-05
971,I want to return my order,Refund/Return,Medium,In Progress,2024-11-27
972,The product is damaged,Product Defect,Low,Open,2024-03-03
973,Need refund for cancelled order,Refund/Return,High,Resolved,2024-12-31
974,Quality is very poor,Product Defect,Medium,In Progress,2024-05-27
975,No help from customer care,Service Issue,Low,In Progress,2024-06-29
976,Support team was rude,Service Issue,Low,Open,2024-04-12
977,My order arrived late,Delivery Problem,High,In Progress,2024-05-23
978,Return request is pending,Refund/Return,High,In Progress,2024-08-30
979,My order arrived late,Delivery Problem,Medium,Resolved,2024-07-18
980,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-05-07
981,Product has scratches,Product Defect,Low,In Progress,2024-03-18
982,I was charged twice for my order,Billing Issue,Low,Open,2024-10-17
983,I was charged twice for my order,Billing Issue,Low,In Progress,2024-02-25
984,Quality is very poor,Product Defect,High,Open,2024-02-10
985,Received a defective piece,Product Defect,Low,Resolved,2024-02-08
986,Customer service is not responding,Service Issue,Medium,In Progress,2024-02-20
987,Quality is very poor,Product Defect,Medium,In Progress,2024-08-11
988,Delivery was delayed by many days,Delivery Problem,Low,In Progress,2024-05-13
989,Money not refunded after return,Refund/Return,High,Resolved,2024-09-24
990,My order arrived late,Delivery Problem,Low,In Progress,2024-12-15
991,Need refund for cancelled order,Refund/Return,High,In Progress,2024-09-26
992,I was charged twice for my order,Billing Issue,Medium,In Progress,2024-05-01
993,Customer service is not responding,Service Issue,High,In Progress,2024-04-11
994,No help from customer care,Service Issue,Low,Open,2024-10-20
995,No help from customer care,Service Issue,Medium,In Progress,2024-11-17
996,Billing details are wrong,Billing Issue,High,Resolved,2024-04-11
997,Item stopped working after one day,Product Defect,Medium,In Progress,2024-09-07
998,No help from customer care,Service Issue,Medium,Open,2024-11-21
999,Extra charges applied without notice,Billing Issue,Low,In Progress,2024-03-15
1000,I was charged twice for my order,Billing Issue,Low,Open,2024-10-13
